,date,cpi,seriesid
0,1/1/2014,235.288,CUSR0000SA0
1,2/1/2014,235.547,CUSR0000SA0
2,3/1/2014,236.028,CUSR0000SA0
3,4/1/2014,236.468,CUSR0000SA0
4,5/1/2014,236.918,CUSR0000SA0
5,6/1/2014,237.231,CUSR0000SA0
6,7/1/2014,237.498,CUSR0000SA0
7,8/1/2014,237.46,CUSR0000SA0
8,9/1/2014,237.477,CUSR0000SA0
9,10/1/2014,237.43,CUSR0000SA0
10,11/1/2014,236.983,CUSR0000SA0
11,12/1/2014,236.252,CUSR0000SA0
12,1/1/2015,234.718,CUSR0000SA0
13,2/1/2015,235.236,CUSR0000SA0
14,3/1/2015,236.005,CUSR0000SA0
15,4/1/2015,236.156,CUSR0000SA0
16,5/1/2015,236.974,CUSR0000SA0
17,6/1/2015,237.684,CUSR0000SA0
18,7/1/2015,238.053,CUSR0000SA0
19,8/1/2015,238.028,CUSR0000SA0
20,9/1/2015,237.506,CUSR0000SA0
21,10/1/2015,237.781,CUSR0000SA0
22,11/1/2015,238.016,CUSR0000SA0
23,12/1/2015,237.817,CUSR0000SA0
24,1/1/2016,237.833,CUSR0000SA0
25,2/1/2016,237.469,CUSR0000SA0
26,3/1/2016,238.038,CUSR0000SA0
27,4/1/2016,238.827,CUSR0000SA0
28,5/1/2016,239.464,CUSR0000SA0
29,6/1/2016,240.167,CUSR0000SA0
30,7/1/2016,240.15,CUSR0000SA0
31,8/1/2016,240.602,CUSR0000SA0
32,9/1/2016,241.051,CUSR0000SA0
33,10/1/2016,241.691,CUSR0000SA0
34,11/1/2016,242.029,CUSR0000SA0
35,12/1/2016,242.772,CUSR0000SA0
36,1/1/2017,243.78,CUSR0000SA0
37,2/1/2017,243.961,CUSR0000SA0
38,3/1/2017,243.749,CUSR0000SA0
39,4/1/2017,244.051,CUSR0000SA0
40,5/1/2017,243.962,CUSR0000SA0
41,6/1/2017,244.182,CUSR0000SA0
42,7/1/2017,244.39,CUSR0000SA0
43,8/1/2017,245.297,CUSR0000SA0
44,9/1/2017,246.418,CUSR0000SA0
45,10/1/2017,246.587,CUSR0000SA0
46,11/1/2017,247.332,CUSR0000SA0
47,12/1/2017,247.901,CUSR0000SA0
48,1/1/2018,248.884,CUSR0000SA0
49,2/1/2018,249.369,CUSR0000SA0
50,3/1/2018,249.498,CUSR0000SA0
51,4/1/2018,249.956,CUSR0000SA0
52,5/1/2018,250.646,CUSR0000SA0
53,6/1/2018,251.134,CUSR0000SA0
54,7/1/2018,251.597,CUSR0000SA0
55,8/1/2018,251.879,CUSR0000SA0
56,9/1/2018,252.01,CUSR0000SA0
57,10/1/2018,252.794,CUSR0000SA0
58,11/1/2018,252.76,CUSR0000SA0
59,12/1/2018,252.723,CUSR0000SA0
